1.325957039106234703e+01 1.378360371647568350e+01 1.352924620455988070e+01 1.329256810014729062e+01
1.359132936959610305e+01 1.345479625001562773e+01 1.379469467744229938e+01 1.327259534380740469e+01
1.352214239218545977e+01 1.415117299083146740e+01 1.392428977604457963e+01 1.352296275121928915e+01
1.407395858053642179e+01 1.439255677560089630e+01 1.443916482780239896e+01 1.390918717251441983e+01
1.449490348446097165e+01 1.401236741723636392e+01 1.446639560224386223e+01 1.388097961194237584e+01
1.383060831833230964e+01 1.393200923867872021e+01 1.400691288726408601e+01 1.352900115689086036e+01
1.376668970371079048e+01 1.414072196882542443e+01 1.419737001853308911e+01 1.376130502995980187e+01
1.425904942649671447e+01 1.458101986208675349e+01 1.475441632076569931e+01 1.394461775661731906e+01
1.451861363254869275e+01 1.490634533993607924e+01 1.511643707472313203e+01 1.421149129027293689e+01
1.510764933902971130e+01 1.457516005768845702e+01 1.507060338514577325e+01 1.454516830300916652e+01
