1.788675885550762601e+01 1.822747505639934573e+01 1.823092344041986479e+01 1.781906556911889439e+01
1.818835704693552913e+01 1.794790669568239139e+01 1.836497834604908519e+01 1.777615378148268377e+01
1.799835960145953351e+01 1.852666550981289717e+01 1.850866464643322473e+01 1.797507956491499925e+01
1.853753916374082067e+01 1.867169472332769331e+01 1.887810828917456618e+01 1.822909978427663447e+01
1.866367515380352060e+01 1.818064533648836090e+01 1.874362694288308973e+01 1.811584221925412663e+01
1.810629006849987732e+01 1.825367004450156827e+01 1.843342029156886142e+01 1.776960874765353893e+01
1.811267742539697778e+01 1.830122276938416448e+01 1.856151446395638160e+01 1.790103636470926673e+01
1.832922433121014549e+01 1.838615091146549929e+01 1.874139700477869397e+01 1.800859365811740886e+01
1.840325797159481880e+01 1.857979274758938004e+01 1.887426650883975299e+01 1.807696358643883272e+01
1.868643956918015547e+01 1.840835427010661363e+01 1.882953971353626343e+01 1.829395274590394749e+01
