,open,close,high,low,volume
0,4.283,4.559,4.628,4.274,22610855.0
1,4.579,4.648,4.726,4.53,21122092.0
2,4.677,4.795,4.845,4.539,28371081.0
3,4.795,4.864,4.904,4.746,26783222.0
4,4.874,5.081,5.347,4.815,51354665.0
5,5.13,4.963,5.248,4.795,33842988.0
6,4.973,5.307,5.357,4.973,28044635.0
7,5.307,5.317,5.386,5.199,23192690.0
8,5.347,5.15,5.376,5.042,19945553.0
9,5.14,5.022,5.14,4.726,20158979.0
10,5.071,5.051,5.14,4.943,18085135.0
11,5.061,5.15,5.219,4.933,21567829.0
12,5.13,5.179,5.268,5.081,17762341.0
13,5.101,5.17,5.268,5.042,16953790.0
14,5.12,5.111,5.179,5.071,13145073.0
15,5.111,5.179,5.248,5.091,18524947.0
16,5.17,5.268,5.367,5.15,24389898.0
17,5.199,5.022,5.248,4.973,18738469.0
18,4.992,5.061,5.071,4.825,14204918.0
19,5.022,5.081,5.554,4.825,28009680.0
20,5.101,5.219,5.268,4.726,19057549.0
21,5.219,5.652,5.731,5.14,38471748.0
22,5.563,5.376,5.652,5.239,28658110.0
23,5.219,4.894,5.268,4.835,23674814.0
24,5.101,4.736,5.101,4.411,22818546.0
25,4.805,5.111,5.12,4.608,22425858.0
26,5.101,4.845,5.189,4.815,18343235.0
27,4.923,4.441,4.963,4.382,18537125.0
28,4.234,3.998,4.421,3.998,18616453.0
29,4.392,3.978,4.392,3.742,19938945.0
30,3.88,3.584,3.88,3.584,20789894.0
31,3.939,3.939,3.939,3.939,1674296.0
32,4.333,4.333,4.333,4.333,2443864.0
33,4.677,3.958,4.677,3.939,20725290.0
34,3.939,4.027,4.136,3.762,12367056.0
35,4.047,4.254,4.333,4.037,14418724.0
36,4.264,4.234,4.342,4.165,13036186.0
37,4.136,4.195,4.274,4.096,8776773.0
38,4.175,4.146,4.214,4.067,9083703.0
39,4.136,4.254,4.283,4.096,12792734.0
40,4.224,4.136,4.254,4.106,13009620.0
41,4.027,3.722,4.086,3.722,12781184.0
42,3.525,3.633,3.742,3.417,11863087.0
43,3.663,3.83,3.83,3.614,8179036.0
44,3.781,3.653,3.83,3.633,7932846.0
45,3.574,3.643,3.702,3.545,6590845.0
46,3.594,3.584,3.624,3.437,6535774.0
47,3.574,3.752,3.791,3.574,7450327.0
48,3.732,3.633,3.742,3.624,5821274.0
49,3.565,3.584,3.633,3.555,3971998.0
50,3.614,3.712,3.732,3.614,6877432.0
51,3.712,3.85,3.89,3.712,10457799.0
52,3.85,3.89,3.958,3.801,11813993.0
53,3.821,3.801,3.919,3.791,7883760.0
54,3.791,3.899,3.919,3.771,7981403.0
55,3.899,3.899,3.968,3.88,8865901.0
56,3.88,4.077,4.086,3.83,13799032.0
57,4.077,3.732,4.086,3.673,13054868.0
58,3.643,3.87,3.909,3.555,10058581.0
59,4.018,3.811,4.037,3.791,10300637.0
60,3.722,3.604,3.781,3.574,8583431.0
61,3.466,3.24,3.505,3.24,9152356.0
62,2.934,2.915,3.072,2.915,7841370.0
63,2.954,2.846,3.043,2.757,9807279.0
64,2.915,2.974,2.974,2.806,7396387.0
65,3.003,3.141,3.161,2.974,9591437.0
66,3.102,3.023,3.102,2.974,6993556.0
67,3.013,3.112,3.151,2.836,10882800.0
68,2.964,3.092,3.112,2.934,7808513.0
69,3.092,3.082,3.22,3.062,5427419.0
70,3.053,3.121,3.131,2.974,5075712.0
71,3.141,3.19,3.21,3.102,8188394.0
72,3.141,3.092,3.151,3.082,4660535.0
73,3.102,3.082,3.131,3.053,3262943.0
74,3.092,2.885,3.112,2.836,6256065.0
75,2.836,2.757,2.885,2.737,5135288.0
76,2.777,2.964,3.013,2.737,6489244.0
77,2.905,2.865,2.974,2.856,5970360.0
78,2.875,2.875,2.905,2.846,3196913.0
79,2.856,2.925,2.934,2.826,3474790.0
80,2.915,2.925,2.954,2.895,4557261.0
81,2.875,2.846,2.895,2.836,3799631.0
82,2.865,2.875,2.895,2.856,2375480.0
