,date,open,close,high,low,volume,code
0,2015-05-18,3.746,3.786,3.796,3.726,95260.0,600782
1,2015-05-19,3.786,3.88,3.885,3.771,107168.0,600782
2,2015-05-20,3.929,4.033,4.063,3.85,206486.0,600782
3,2015-05-21,4.029,4.217,4.232,3.969,207484.0,600782
4,2015-05-22,4.242,4.242,4.311,4.167,202505.0,600782
5,2015-05-25,4.212,4.301,4.351,4.167,254227.0,600782
6,2015-05-26,4.321,4.415,4.494,4.232,319810.0,600782
7,2015-05-27,4.41,4.504,4.554,4.321,289116.0,600782
8,2015-05-28,4.509,4.276,4.549,4.266,504088.0,600782
9,2015-05-29,4.291,4.316,4.4,4.118,258856.0,600782
10,2015-06-01,4.311,4.504,4.519,4.311,417839.0,600782
11,2015-06-02,4.559,4.697,4.821,4.435,515022.0,600782
12,2015-06-03,4.608,4.574,4.648,4.405,426541.0,600782
13,2015-06-04,4.534,4.549,4.559,4.118,303398.0,600782
14,2015-06-05,4.569,4.806,4.955,4.47,630592.0,600782
15,2015-06-08,4.707,4.742,4.841,4.643,350271.0,600782
16,2015-06-09,4.737,4.618,4.747,4.564,239279.0,600782
17,2015-06-10,4.564,4.583,4.678,4.514,308863.0,600782
18,2015-06-11,4.583,4.658,4.692,4.569,287653.0,600782
19,2015-06-12,4.668,4.707,4.767,4.598,444009.0,600782
20,2015-06-15,4.732,5.178,5.178,4.732,650301.0,600782
21,2015-06-16,5.153,4.826,5.168,4.787,455579.0,600782
22,2015-06-17,4.826,4.901,4.955,4.598,364146.0,600782
23,2015-06-18,4.856,4.901,5.193,4.797,407556.0,600782
24,2015-06-19,4.707,4.41,4.806,4.41,271092.0,600782
25,2015-06-23,4.261,4.445,4.455,4.014,213002.0,600782
26,2015-06-24,4.46,4.579,4.653,4.46,257123.0,600782
27,2015-06-25,4.583,4.331,4.583,4.242,234224.0,600782
28,2015-06-26,4.187,3.9,4.242,3.9,228687.0,600782
29,2015-06-29,3.979,3.508,4.019,3.508,272590.0,600782
30,2015-06-30,3.459,3.751,3.771,3.156,285270.0,600782
31,2015-07-01,3.697,3.389,3.801,3.374,241665.0,600782
32,2015-07-02,3.449,3.052,3.454,3.052,217652.0,600782
33,2015-07-03,2.919,2.745,3.047,2.745,231612.0,600782
34,2015-07-06,3.008,2.611,3.018,2.478,277510.0,600782
35,2015-07-07,2.502,2.349,2.557,2.349,227863.0,600782
36,2015-07-08,2.116,2.116,2.17,2.116,173109.0,600782
37,2015-07-09,2.007,2.329,2.329,2.007,259723.0,600782
38,2015-07-10,2.478,2.562,2.562,2.383,128530.0,600782
39,2015-07-13,2.795,2.819,2.819,2.715,272735.0,600782
40,2015-07-14,2.924,3.008,3.097,2.834,425041.0,600782
41,2015-07-15,2.924,2.706,2.924,2.706,211803.0,600782
42,2015-07-16,2.557,2.75,2.869,2.458,202901.0,600782
43,2015-07-17,2.78,2.914,2.948,2.78,185164.0,600782
44,2015-07-20,2.919,2.943,3.042,2.874,221938.0,600782
45,2015-07-21,2.914,2.953,3.023,2.849,219637.0,600782
46,2015-07-22,2.889,2.973,2.998,2.864,186399.0,600782
47,2015-07-23,2.968,3.072,3.102,2.948,244108.0,600782
48,2015-07-24,3.047,2.993,3.132,2.973,265020.0,600782
49,2015-07-27,2.919,2.696,2.973,2.696,216875.0,600782
50,2015-07-28,2.492,2.562,2.75,2.453,211642.0,600782
51,2015-07-29,2.626,2.725,2.73,2.527,152184.0,600782
52,2015-07-30,2.725,2.686,2.894,2.666,148521.0,600782
53,2015-07-31,2.686,2.715,2.78,2.656,96821.0,600782
54,2015-08-03,2.71,2.706,2.785,2.552,170108.0,600782
55,2015-08-04,2.691,2.844,2.849,2.666,239509.0,600782
56,2015-08-05,2.839,2.765,2.849,2.71,212218.0,600782
57,2015-08-06,2.701,2.715,2.76,2.666,93449.0,600782
58,2015-08-07,2.8,2.988,2.988,2.73,426404.0,600782
59,2015-08-10,3.052,3.181,3.256,2.958,569774.0,600782
60,2015-08-11,3.117,3.137,3.241,3.072,399871.0,600782
61,2015-08-12,3.072,3.231,3.365,3.057,361581.0,600782
62,2015-08-13,3.176,3.28,3.29,3.132,345594.0,600782
63,2015-08-14,3.3,3.27,3.315,3.201,285793.0,600782
64,2015-08-17,3.231,3.449,3.528,3.171,380963.0,600782
65,2015-08-18,3.369,3.102,3.409,3.102,350067.0,600782
66,2015-08-19,2.973,3.206,3.246,2.839,308658.0,600782
67,2015-08-20,3.122,3.151,3.216,3.062,224186.0,600782
68,2015-08-21,3.062,2.894,3.147,2.869,164245.0,600782
