,date,open,close,high,low,volume,code
0,2015-02-06,5.791,5.635,5.9,5.583,49154.0,300296
1,2015-02-09,5.555,5.421,5.647,5.382,40980.0,300296
2,2015-02-10,5.421,5.387,5.498,5.369,26497.0,300296
3,2015-02-11,5.402,5.384,5.501,5.297,27599.0,300296
4,2015-02-12,5.382,5.31,5.439,5.243,46596.0,300296
5,2015-02-13,5.558,5.841,5.841,5.511,48935.0,300296
6,2015-02-16,6.024,6.208,6.275,5.843,97195.0,300296
7,2015-02-17,6.232,6.225,6.272,6.089,59722.0,300296
8,2015-02-25,6.237,6.394,6.647,6.175,52562.0,300296
9,2015-02-26,6.523,6.349,6.572,6.24,46787.0,300296
10,2015-02-27,6.312,6.448,6.495,6.096,77893.0,300296
11,2015-03-02,6.443,6.426,6.537,6.349,50205.0,300296
12,2015-03-03,6.441,6.252,6.441,6.2,48515.0,300296
13,2015-03-04,6.245,6.257,6.322,6.203,39382.0,300296
14,2015-03-05,6.265,6.431,6.446,6.25,53049.0,300296
15,2015-03-06,6.448,6.193,6.51,6.19,43966.0,300296
16,2015-03-09,6.113,6.175,6.23,6.101,33543.0,300296
17,2015-03-10,6.17,6.299,6.374,6.17,33579.0,300296
18,2015-03-11,6.208,6.193,6.299,6.039,36146.0,300296
19,2015-03-12,6.376,6.277,6.753,6.225,50548.0,300296
20,2015-03-13,6.304,6.314,6.394,6.143,38871.0,300296
21,2015-03-16,6.344,6.503,6.523,6.299,80932.0,300296
22,2015-03-17,6.478,7.118,7.153,6.478,151808.0,300296
23,2015-03-18,6.976,7.068,7.093,6.86,68773.0,300296
24,2015-03-19,7.063,6.979,7.063,6.828,62591.0,300296
25,2015-03-20,6.986,7.17,7.291,6.927,64550.0,300296
26,2015-03-23,7.267,7.621,7.678,7.095,73452.0,300296
27,2015-03-24,7.604,7.582,7.614,7.304,72118.0,300296
28,2015-03-25,7.601,8.035,8.127,7.445,86108.0,300296
29,2015-03-26,7.842,8.112,8.383,7.691,110108.0,300296
30,2015-03-27,8.04,7.986,8.358,7.911,49226.05,300296
31,2015-03-30,7.944,7.745,8.06,7.616,46968.0,300296
32,2015-03-31,7.706,7.795,7.931,7.609,47978.0,300296
33,2015-04-01,7.79,8.038,8.159,7.75,52699.0,300296
34,2015-04-02,8.035,8.12,8.142,7.961,47131.0,300296
35,2015-04-03,8.065,8.541,8.623,7.961,74645.0,300296
36,2015-04-07,8.655,8.45,8.665,8.358,76567.0,300296
37,2015-04-08,8.504,8.234,8.514,7.988,70367.0,300296
38,2015-04-09,8.303,7.936,8.303,7.596,67769.0,300296
39,2015-04-10,7.81,8.249,8.348,7.763,54319.0,300296
40,2015-04-13,8.407,8.507,8.579,8.311,62981.0,300296
41,2015-04-14,8.73,8.425,8.792,8.336,64201.0,300296
42,2015-04-15,8.293,7.634,8.306,7.582,94438.0,300296
43,2015-04-16,7.539,7.433,7.73,7.091,48009.0,300296
44,2015-04-17,7.435,7.428,7.658,7.339,58200.0,300296
45,2015-04-20,7.44,7.386,7.552,7.227,56602.0,300296
46,2015-04-21,7.415,7.76,7.76,7.242,54508.0,300296
47,2015-04-22,7.8,8.068,8.073,7.763,61874.0,300296
48,2015-04-23,7.998,7.906,8.259,7.887,60122.0,300296
49,2015-04-24,7.676,7.835,7.901,7.539,52411.0,300296
50,2015-04-27,7.862,7.83,8.083,7.753,45093.0,300296
51,2015-04-28,7.787,7.331,7.832,7.076,67118.0,300296
52,2015-04-29,7.329,7.336,7.534,7.239,52726.0,300296
53,2015-04-30,7.314,7.351,7.485,7.267,47102.0,300296
54,2015-05-04,7.289,7.438,7.487,7.219,34062.0,300296
55,2015-05-05,7.366,7.192,7.46,7.145,41469.0,300296
56,2015-05-06,7.259,7.274,7.502,7.259,40871.0,300296
57,2015-05-07,7.41,7.331,7.42,7.267,26056.0,300296
58,2015-05-20,8.065,8.065,8.065,8.065,2561.0,300296
59,2015-05-21,8.871,8.871,8.871,8.871,3647.0,300296
60,2015-05-22,9.759,9.759,9.759,9.759,2847.0,300296
61,2015-05-25,10.168,10.59,10.736,9.399,171051.0,300296
62,2015-05-26,10.277,11.433,11.557,10.171,131939.0,300296
63,2015-05-27,11.682,12.129,12.517,10.936,277318.0,300296
64,2015-05-28,11.931,10.916,12.413,10.916,266629.0,300296
65,2015-05-29,10.946,10.812,11.384,10.23,168846.0,300296
66,2015-06-01,10.738,11.284,11.309,10.738,177664.0,300296
67,2015-06-02,11.289,12.229,12.378,11.16,199360.0,300296
68,2015-06-03,12.229,11.712,12.477,11.438,175723.0,300296
69,2015-06-04,11.682,11.478,12.174,10.539,144588.0,300296
70,2015-06-05,11.662,11.424,11.95,11.135,124345.0,300296
71,2015-06-08,11.433,10.718,11.558,10.598,134039.0,300296
72,2015-06-09,10.762,10.832,11.026,10.688,80252.0,300296
73,2015-06-10,10.842,11.19,11.518,10.638,110175.0,300296
74,2015-06-11,11.394,11.732,11.771,11.076,139280.0,300296
75,2015-06-12,11.737,12.905,12.905,11.737,210872.0,300296
76,2015-06-15,13.273,12.457,13.899,12.358,252390.0,300296
77,2015-06-16,12.328,11.677,12.328,11.538,137924.0,300296
78,2015-06-17,11.642,12.527,12.646,11.433,121118.0,300296
79,2015-06-18,12.701,11.856,12.716,11.732,98443.0,300296
80,2015-06-19,11.185,10.733,11.727,10.733,84515.0,300296
81,2015-06-23,10.688,11.259,11.379,10.474,96329.0,300296
82,2015-06-24,11.424,11.831,11.98,11.294,116897.0,300296
83,2015-06-25,11.856,11.076,11.861,10.936,75193.0,300296
84,2015-06-26,10.747,9.967,10.926,9.967,71902.0,300296
85,2015-06-29,10.39,8.973,10.399,8.973,103797.0,300296
86,2015-06-30,8.501,9.246,9.674,8.078,148014.0,300296
87,2015-07-01,9.147,8.401,9.619,8.351,144053.0,300296
88,2015-07-02,8.491,7.65,8.774,7.576,169405.0,300296
89,2015-07-03,7.481,7.665,8.163,6.974,157851.0,300296
90,2015-07-06,8.431,7.954,8.431,7.153,167915.0,300296
91,2015-07-07,7.596,7.68,7.924,7.183,173290.0,300296
92,2015-07-08,6.915,6.999,7.402,6.915,195280.0,300296
93,2015-07-13,7.7,7.7,7.7,7.7,1853.0,300296
94,2015-07-14,8.471,8.471,8.471,8.471,2239.0,300296
95,2015-07-15,9.316,8.456,9.316,8.451,200142.0,300296
96,2015-07-16,8.456,9.196,9.301,8.043,161402.0,300296
97,2015-07-17,9.44,10.071,10.116,9.201,122789.0,300296
98,2015-07-20,10.181,10.28,10.588,9.843,139663.0,300296
99,2015-07-21,9.977,10.211,10.544,9.942,95827.0,300296
100,2015-07-22,10.091,10.176,10.39,9.992,66927.0,300296
101,2015-07-23,10.047,10.489,10.539,10.047,81206.0,300296
102,2015-07-24,10.638,10.051,10.728,10.022,125561.0,300296
103,2015-10-26,11.056,11.056,11.056,10.638,128068.0,300296
