,open,close,high,low,volume
0,48.152,52.914,52.914,47.49,71887.0
1,52.967,55.615,58.203,52.967,61734.0
2,55.081,55.532,58.384,54.953,50016.0
3,55.074,58.993,59.136,54.396,44781.0
4,59.001,58.226,60.099,56.42,41689.0
5,56.954,61.852,64.049,56.428,56579.0
6,61.755,68.037,68.037,61.755,54426.0
7,67.698,67.676,69.218,64.764,32270.0
8,66.961,61.905,71.009,61.514,47289.0
9,62.447,68.09,68.097,59.069,45514.0
10,70.497,74.898,74.898,67.111,43268.0
11,74.485,72.626,75.199,69.97,47892.0
12,72.378,67.706,72.423,66.201,68445.0
13,68.09,64.659,68.466,61.168,43621.0
14,65.456,65.674,68.353,60.822,41082.0
15,65.614,62.59,65.674,61.326,33750.0
16,62.311,64.267,65.366,61.965,24147.0
17,63.944,66.841,66.961,62.988,31069.0
18,66.818,72.137,72.641,65.705,61117.0
19,71.001,69.113,72.378,68.548,33567.0
20,68.481,66.058,69.654,65.065,29461.0
21,64.403,59.505,64.403,59.452,31654.0
22,58.316,57.601,60.934,54.923,45186.0
23,58.211,54.788,58.211,54.058,61733.0
24,53.418,52.124,55.788,49.656,31115.0
25,52.681,52.613,54.095,47.934,51031.0
26,53.456,53.524,54.321,50.319,49441.0
27,53.606,48.17,54.18,48.17,39866.0
28,45.301,43.353,45.678,43.353,37176.0
29,44.689,39.019,44.689,39.019,58272.0
30,36.55,41.82,42.439,35.116,57555.0
31,40.771,37.637,42.673,37.637,60085.0
32,37.758,33.877,38.392,33.877,51620.0
33,33.734,30.487,35.478,30.487,45030.0
34,33.538,27.634,33.538,27.437,117136.0
35,27.173,24.87,27.173,24.87,100420.0
36,22.386,23.519,26.312,22.386,185546.0
37,24.16,25.874,25.874,24.16,43044.0
38,28.464,28.464,28.464,28.464,1974.0
39,31.31,31.31,31.31,31.31,11230.0
40,34.444,34.444,34.444,34.444,5127.0
41,37.887,34.685,37.887,33.983,145008.0
42,33.976,37.532,38.151,31.326,100947.0
43,38.09,39.993,41.284,37.743,91214.0
44,39.17,40.506,42.802,38.506,86733.0
45,39.261,40.499,41.752,38.506,67334.0
46,40.099,42.228,42.432,39.54,57150.0
47,43.028,44.123,45.21,41.224,59500.0
48,43.791,42.688,45.414,41.526,62074.0
49,41.526,38.423,42.009,38.423,68134.0
50,34.58,34.957,39.246,34.58,62343.0
51,36.09,37.826,38.423,34.965,56217.0
52,38.506,39.819,41.609,36.324,73534.0
53,38.808,37.033,39.261,36.392,49008.0
54,36.007,33.334,36.241,33.334,45881.0
55,33.749,36.663,36.671,33.379,34958.0
56,36.301,35.206,37.449,34.663,35275.0
57,34.361,34.353,36.316,33.598,32279.0
58,34.64,36.437,37.728,34.64,48684.0
59,37.079,40.084,40.084,37.079,67280.0
60,40.016,39.223,41.035,38.506,62389.0
61,39.004,40.454,40.997,38.581,60592.0
62,39.616,41.624,41.752,39.336,51412.0
63,41.594,41.171,42.507,40.703,49650.0
64,40.62,42.205,42.303,40.099,41846.0
65,42.205,37.985,42.356,37.985,69221.0
66,36.996,39.495,39.842,34.731,42860.0
67,35.546,35.546,35.546,35.546,2402.0
68,31.99,31.99,31.99,31.99,15824.0
69,28.796,33.44,34.383,28.796,104204.0
70,31.703,30.095,32.05,30.095,68914.0
71,29.43,27.082,29.43,27.082,38435.0
72,24.764,25.708,27.165,24.372,50758.0
73,26.403,25.233,27.558,24.84,39058.0
74,24.598,27.06,27.165,24.387,30789.0
75,27.634,27.392,28.54,26.169,101283.0
76,26.863,29.211,29.936,26.509,88737.0
77,28.698,29.211,30.616,28.313,70984.0
78,29.521,26.29,29.793,26.29,57653.0
79,25.142,23.662,26.048,23.662,33505.0
80,23.934,26.025,26.025,23.458,38826.0
81,26.425,26.607,28.63,26.154,58906.0
82,27.332,27.158,27.407,26.116,42368.0
83,26.441,29.0,29.446,26.35,64346.0
84,29.408,31.401,31.56,28.842,59533.0
85,30.216,30.05,31.22,29.68,49007.0
86,30.05,31.748,32.164,30.05,55705.0
87,31.409,28.691,31.846,28.577,78087.0
88,28.691,29.755,29.883,27.339,28944.0
89,28.698,28.351,29.544,27.943,28241.0
90,28.698,28.358,29.144,27.936,25979.0
91,29.649,29.868,30.284,29.106,37831.0
92,29.604,30.752,31.107,29.604,43552.0
93,31.711,31.295,33.07,30.729,141219.0
94,30.548,32.632,33.07,30.548,91247.0
95,32.126,32.639,33.825,31.62,54949.0
96,32.164,34.051,34.263,32.164,39042.0
97,34.263,34.723,35.886,34.013,43397.0
98,34.391,33.273,35.055,32.466,57293.0
99,32.956,35.274,35.335,32.534,104153.0
100,34.957,32.164,35.327,31.748,66456.0
101,31.96,32.851,33.296,31.643,48309.0
102,32.888,36.135,36.135,32.768,104824.0
103,36.58,37.403,39.751,35.486,89814.0
104,36.241,38.83,39.714,36.15,53596.0
105,39.019,36.112,39.412,36.037,56665.0
106,36.263,36.014,36.769,35.712,34143.0
107,35.863,38.74,39.616,34.64,108195.0
108,36.807,37.668,41.148,36.731,85097.0
109,37.554,37.086,38.053,36.173,49434.0
110,36.882,38.928,39.2,36.882,77511.0
111,38.883,38.468,38.951,37.373,52281.0
112,38.506,39.548,40.657,38.475,66419.0
113,39.359,43.187,43.504,39.359,114062.0
114,42.53,42.462,43.617,41.662,51188.0
115,42.696,43.043,43.172,41.397,35865.0
116,42.779,41.805,42.885,40.861,48990.0
117,40.997,41.367,42.658,40.597,47992.0
118,40.31,41.918,42.266,39.865,27415.0
119,42.356,41.579,44.395,41.526,52658.0
120,42.016,40.288,42.016,40.016,38413.0
121,40.28,41.428,41.533,39.91,23421.0
122,41.677,44.297,45.558,41.677,87186.0
123,43.806,42.711,44.991,41.601,41346.0
124,42.756,43.104,43.172,40.892,45760.0
125,42.877,43.549,43.859,42.658,23567.0
126,43.549,43.247,45.301,42.371,46738.0
127,43.074,41.156,43.791,38.921,55195.0
128,40.091,39.729,41.073,37.071,59683.0
129,39.261,38.506,39.487,38.204,35230.0
130,38.279,37.864,38.506,34.927,53536.0
131,37.403,39.11,39.223,37.32,37698.0
132,38.959,37.864,39.027,37.313,33435.0
133,37.713,38.649,39.102,37.283,38380.0
134,38.438,39.472,40.907,37.796,47721.0
135,38.747,38.294,39.563,37.871,20238.0
136,38.43,37.955,38.959,37.751,19468.0
137,37.758,37.849,38.347,37.298,18489.0
138,37.449,37.932,37.977,36.618,25352.0
139,38.053,38.317,38.883,37.796,25363.0
140,38.83,40.401,40.937,38.362,61494.0
141,40.401,42.258,43.617,40.401,62893.0
142,41.85,40.816,41.903,39.533,53989.0
143,40.242,39.178,40.597,38.815,58381.0
144,39.178,39.11,39.533,38.317,58810.0
145,39.359,38.166,39.359,38.113,44317.0
146,38.09,38.581,38.732,36.996,28650.0
147,38.581,38.173,38.694,37.962,26404.0
148,38.347,37.434,38.876,37.033,35239.0
149,37.245,37.607,37.66,36.694,23860.0
150,37.962,39.253,39.699,37.962,76004.0
151,39.261,38.996,40.68,37.751,89761.0
152,38.521,35.101,39.412,35.101,38094.0
153,33.221,33.53,35.395,32.096,57082.0
154,33.606,33.945,34.361,32.73,40896.0
155,33.221,30.593,33.372,30.555,10972.0
156,31.711,30.797,31.93,27.943,41316.0
157,30.019,27.717,30.201,27.717,46405.0
158,27.498,27.611,28.464,26.425,28140.0
159,27.498,26.418,28.23,26.395,31385.0
160,25.21,27.573,27.936,24.953,34713.0
161,27.029,25.64,27.785,25.301,30620.0
162,24.81,26.139,26.652,24.538,29944.0
163,26.048,27.679,27.694,26.048,32235.0
164,27.294,27.437,28.449,26.924,31327.0
165,27.18,26.154,28.049,26.108,23100.0
166,26.463,26.629,26.878,25.67,18118.0
167,26.841,27.06,27.558,26.425,18998.0
168,26.727,25.029,26.727,24.915,36070.0
169,25.029,24.364,25.285,22.93,31374.0
170,23.783,23.504,25.074,23.405,18532.0
171,23.556,25.074,25.308,23.549,18504.0
172,24.938,25.006,25.353,24.689,12146.0
173,25.504,27.505,27.505,25.165,37650.0
174,27.128,27.067,27.483,26.425,19061.0
175,27.996,28.328,29.113,27.996,38439.0
176,28.313,28.351,29.068,28.162,22124.0
177,27.226,28.645,28.932,27.203,19054.0
178,28.766,29.453,29.899,28.766,22394.0
179,29.446,29.831,30.412,29.272,30001.0
180,30.125,29.461,30.185,29.264,14127.0
181,29.31,29.68,29.74,29.053,12573.0
182,29.936,29.793,30.117,29.453,15260.0
183,29.831,29.37,29.891,28.917,16662.0
184,29.295,29.234,29.748,28.373,15646.0
185,29.446,26.312,29.446,26.312,21811.0
186,26.433,25.844,27.097,25.255,28898.0
187,25.519,23.405,25.64,23.262,46608.0
188,23.556,24.047,24.515,23.073,28395.0
189,24.055,25.497,25.55,23.624,35675.0
190,25.519,25.391,26.35,25.27,31364.0
191,25.21,24.009,25.331,23.602,31255.0
192,24.236,24.387,25.285,24.16,34365.0
193,24.176,24.81,24.825,23.103,26954.0
194,24.349,24.598,25.293,23.874,19848.0
195,24.674,23.911,24.84,23.783,21060.0
196,23.549,23.919,24.153,23.405,14057.0
197,24.379,25.301,26.131,24.296,38657.0
198,25.24,25.104,25.595,24.923,17606.0
199,25.293,24.689,25.655,24.402,13718.0
200,24.923,25.852,26.086,24.689,34339.0
201,26.274,27.113,27.324,25.686,61128.0
202,27.339,28.313,28.389,27.339,44403.0
203,27.875,27.89,28.268,27.566,31531.0
204,27.792,28.381,28.389,27.671,29887.0
205,27.936,28.026,29.521,27.785,40863.0
206,27.936,27.664,28.313,27.029,38591.0
207,27.86,27.241,28.177,27.128,30658.0
208,27.241,26.229,27.467,26.048,29309.0
209,26.546,27.694,27.785,26.546,37690.0
210,28.087,28.011,28.736,27.785,49640.0
211,27.785,28.102,28.389,27.18,30823.0
212,28.192,28.819,28.985,27.845,32944.0
213,28.811,28.706,29.083,28.404,38184.0
214,28.789,27.973,28.94,27.656,34355.0
215,27.747,27.52,27.747,27.18,17890.0
216,27.936,28.132,28.419,27.785,27857.0
217,28.192,28.389,28.766,27.8,29448.0
218,28.268,28.804,29.279,28.268,50664.0
219,28.932,29.121,29.219,28.691,32544.0
220,29.068,28.751,29.151,28.472,26173.0
221,28.774,27.845,28.774,27.415,36935.0
222,28.087,27.837,28.132,27.52,28859.0
223,28.011,26.093,28.041,25.519,41732.0
224,26.01,25.882,26.388,25.67,22367.0
225,25.882,26.025,26.04,25.625,15743.0
226,25.754,25.889,26.04,25.104,18982.0
227,26.335,26.584,26.803,26.048,34027.0
228,26.622,26.335,26.788,26.191,24301.0
229,26.342,26.546,26.69,26.01,31345.0
230,26.388,26.592,26.803,26.312,29508.0
231,26.66,27.581,27.626,26.365,40550.0
232,27.596,27.543,27.694,27.279,33285.0
233,27.513,27.634,27.664,27.354,21185.0
