,date,open,close,high,low,volume,code
0,2015-02-10,6.226,6.324,6.324,6.206,38578.0,600280
1,2015-02-11,6.324,6.418,6.427,6.324,31554.0,600280
2,2015-02-12,6.418,6.422,6.447,6.324,28247.0,600280
3,2015-02-13,6.496,6.55,6.644,6.496,68800.0,600280
4,2015-02-16,6.708,6.678,6.772,6.595,101783.0,600280
5,2015-02-17,6.669,6.703,6.816,6.6,72837.0,600280
6,2015-02-25,6.841,6.718,6.964,6.703,118201.0,600280
7,2015-02-26,6.708,6.801,6.86,6.669,89640.0,600280
8,2015-02-27,6.816,6.767,6.841,6.747,53219.0,600280
9,2015-03-02,6.792,6.757,6.836,6.698,67326.0,600280
10,2015-03-03,6.718,6.57,6.718,6.555,84457.0,600280
11,2015-03-04,6.585,6.644,6.664,6.555,76158.0,600280
12,2015-03-05,6.654,6.619,6.654,6.56,58187.0,600280
13,2015-03-06,6.669,7.067,7.185,6.644,211199.0,600280
14,2015-03-09,7.057,7.387,7.431,6.895,230794.0,600280
15,2015-03-10,7.333,7.52,7.658,7.284,188869.0,600280
16,2015-03-11,7.53,7.466,7.53,7.225,129414.0,600280
17,2015-03-12,7.392,7.382,7.579,7.294,71540.0,600280
18,2015-03-13,7.422,7.343,7.451,7.259,58536.0,600280
19,2015-03-16,7.382,7.451,7.49,7.343,108147.0,600280
20,2015-03-17,7.481,7.84,7.924,7.466,140962.0,600280
21,2015-03-18,7.825,8.125,8.16,7.727,154515.0,600280
22,2015-03-19,8.165,8.317,8.519,7.978,184750.0,600280
23,2015-03-20,8.366,9.149,9.149,8.268,197837.0,600280
24,2015-03-23,9.277,9.666,10.04,9.277,207734.0,600280
25,2015-03-24,9.74,9.183,9.74,8.982,277483.0,600280
26,2015-03-25,8.859,8.814,9.006,8.711,297077.0,600280
27,2015-03-26,8.716,8.258,8.716,8.071,425527.0,600280
28,2015-03-30,7.554,7.904,8.258,7.554,521174.0,600280
29,2015-03-31,7.805,8.111,8.12,7.751,390030.0,600280
30,2015-04-01,8.071,8.199,8.204,7.997,300742.0,600280
31,2015-04-02,8.17,8.298,8.357,8.135,251240.0,600280
32,2015-04-03,8.258,8.293,8.312,8.14,211918.0,600280
33,2015-04-07,8.307,8.726,8.809,8.283,331163.0,600280
34,2015-04-08,8.686,8.568,8.711,8.416,238168.0,600280
35,2015-04-09,8.553,8.312,8.563,7.988,186198.0,600280
36,2015-04-10,8.219,8.48,8.613,8.17,159878.0,600280
37,2015-04-13,8.475,8.775,8.844,8.44,271041.0,600280
38,2015-04-14,8.834,8.642,8.854,8.534,176719.0,600280
39,2015-04-15,8.583,8.135,8.637,8.12,152733.0,600280
40,2015-04-16,7.978,8.312,8.386,7.904,113641.0,600280
41,2015-04-17,8.322,8.273,8.44,8.184,150355.0,600280
42,2015-04-20,8.258,7.938,8.258,7.879,182355.0,600280
43,2015-04-21,7.924,8.229,8.243,7.884,123151.0,600280
44,2015-04-22,8.278,8.632,8.672,8.258,234878.0,600280
45,2015-04-23,8.632,8.942,8.957,8.489,324642.0,600280
46,2015-04-24,8.804,9.287,9.351,8.696,370231.0,600280
47,2015-05-12,10.217,10.217,10.217,10.217,11167.0,600280
48,2015-05-13,11.241,11.241,11.241,11.024,261427.0,600280
49,2015-05-14,11.811,12.363,12.363,11.369,305191.0,600280
